Obsid	MJD	F24	F2232	NHA	NHW	Tin	UF2232	UF1523	UF325
00031224020	57630.51	0.185	0.073	9.12	13.99	1.295	0.487	0.675	0.405	
00031224022	57635.29	0.184	0.067	9.76	14.72	1.554	0.505	0.686	0.502	
00031224023	57636.02	0.262	0.093	8.97	13.77	1.481	0.605	0.836	0.583	
00031224024	57637.09	0.242	0.092	9.29	14.29	1.495	0.618	0.852	0.598	
00031224025	57638.28	0.237	0.092	8.56	13.14	1.582	0.544	0.737	0.548
00031224026	57639.28	0.354	0.151	7.28	11.10	1.359	0.700	1.003	0.634	
00031224027	57640.01	0.314	0.138	5.97	9.06	1.284	0.708	1.038	0.616
00031224028	57641.47	0.363	0.148	8.30	12.77	1.355	0.838	1.203	0.762
00031224029	57642.48	0.252	0.097	8.71	13.37	1.565	0.593	0.814	0.598
00031224030	57643.39	0.239	0.089	9.15	14.07	1.620	0.596	0.797	0.608
00031224031	57644.26	0.245	0.090	9.45	14.53	1.583	0.638	0.874	0.649
00031224032	57645.92	0.234	0.084	9.33	14.35	1.677	0.593	0.786	0.618	
00031224033	57648.25	0.398	0.171	7.10	10.83	1.349	0.773	1.107	0.700	
00031224035	57654.09	0.226	0.083	9.69	14.87	1.541	0.620	0.845	0.615
00031224036	57657.89	0.246	0.094	9.02	13.85	1.470	0.605	0.827	0.596
00031224037	57658.48	0.229	0.084	9.38	14.41	1.662	0.585	0.779	0.607
00031224038	57660.88	0.299	0.116	8.67	13.30	1.519	0.703	0.962	0.689
00031224039	57663.60	0.256	0.099	8.85	13.58	1.503	0.622	0.855	0.605
00031224040	57667.06	0.254	0.095	9.12	14.03	1.650	0.622	0.827	0.641
00031224041	57669.52	0.297	0.116	8.48	13.04	1.577	0.675	0.865	0.643
00031224042	57672.39	0.268	0.105	8.07	12.40	1.672	0.566	0.752	0.587
00031224043	57675.64	0.226	0.088	9.45	14.56	1.275	0.630	0.927	0.547
00031224044	57678.28	0.263	0.097	9.17	14.10	1.741	0.643	0.845	0.684
00031224045	57682.47	0.309	0.112	9.34	14.37	1.765	0.768	1.002	0.819

